id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3704016563,蜘蛛侠：英雄远征,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2558293106.jpg,2019-06-28(中国大陆),https://movie.douban.com/subject/26931786/,7.6,"动作,科幻,冒险",4,,,2023-02-25 22:34:54,2019 / 美国 / 动作 科幻 冒险 / 乔·沃茨 / 汤姆·赫兰德 赞达亚
3703096199,蜘蛛侠：英雄归来,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2497756471.jpg,2017-09-08(中国大陆),https://movie.douban.com/subject/24753477/,7.3,"动作,科幻,冒险",4,,,2023-02-25 00:39:49,2017 / 美国 / 动作 科幻 冒险 / 乔·沃茨 / 汤姆·赫兰德 小罗伯特·唐尼
1647033456,蜘蛛侠：平行宇宙,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2535851348.jpg,2018-12-21(中国大陆),https://movie.douban.com/subject/26374197/,8.6,"动作,科幻,动画",5,,,2023-02-24 11:24:26,2018 / 美国 / 动作 科幻 动画 冒险 / 鲍勃·佩尔西凯蒂 彼得·拉姆齐 罗德尼·罗斯曼 / 沙梅克·摩尔 杰克·约翰逊
3696035048,蚁人与黄蜂女：量子狂潮,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2888100566.jpg,2023-02-17(美国/中国大陆),https://movie.douban.com/subject/34610636/,6,"喜剧,动作,科幻",4,,,2023-02-18 15:35:56,2023 / 美国 / 喜剧 动作 科幻 冒险 / 佩顿·里德 / 保罗·路德 伊万杰琳·莉莉
3680137798,春光乍泄,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p465939041.jpg,1997-05-30(中国香港),https://movie.douban.com/subject/1292679/,9,"剧情,爱情,同性",4,,,2023-02-04 22:57:23,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性 / 王家卫 / 张国荣 梁朝伟
3674890349,霹雳兵燹之刀戟戡魔录,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2526280102.jpg,2005-06,https://movie.douban.com/subject/1920824/,9.3,"剧情,动作,武侠",4,1.18,,2023-02-01 01:29:58,2005 / 中国台湾 / 剧情 动作 武侠 古装 / 黄文择 / 黄文择口白
3662336965,尼罗河上的惨案,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2366278130.jpg,1979-07(中国大陆),https://movie.douban.com/subject/1302100/,8.5,"剧情,悬疑,犯罪",4,,,2023-01-24 23:02:10,1978 / 英国 / 剧情 悬疑 犯罪 / 约翰·吉勒明 / 彼得·乌斯蒂诺夫 简·伯金
3657620253,摄影机不要停！,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2541824676.jpg,2017-11-04(东京首映),https://movie.douban.com/subject/30234315/,8.2,"喜剧,恐怖",4,,,2023-01-22 23:03:03,2017 / 日本 / 喜剧 恐怖 / 上田慎一郎 / 滨津隆之 真鱼
3656013735,一场很（没）有必要的春晚,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2868008846.jpg,2022-01-28(中国大陆),https://movie.douban.com/subject/35765172/,7.6,喜剧,5,,,2023-01-22 00:19:04,2022 / 加拿大 / 喜剧 / 汪英伦 / 王赛丽 Rocky Sun
3646841444,清白的嫌疑人,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2881141100.jpg,2022-09-16(美国),https://movie.douban.com/subject/35564914/,6.4,"喜剧,犯罪",4,,,2023-01-14 17:09:30,2022 / 美国 / 喜剧 犯罪 / 格雷格·莫托拉 / 乔恩·哈姆 凯尔·麦克拉克伦
3639139829,利刃出鞘,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2574172427.jpg,2019-11-29(中国大陆),https://movie.douban.com/subject/30318116/,8.1,"剧情,喜剧,犯罪",4,,,2023-01-08 21:03:15,
3639139635,利刃出鞘2,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2882492021.jpg,2022-09-10(多伦多电影节),https://movie.douban.com/subject/34939037/,6.7,"剧情,喜剧,犯罪",4,,,2023-01-08 21:03:09,
3627015750,潘神的迷宫,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2655686372.jpg,2006-10-11(西班牙),https://movie.douban.com/subject/1767042/,7.9,"剧情,战争,奇幻",3,,,2023-01-01 15:27:39,
3618422911,霹雳靖玄录,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2560551011.jpg,2019-06-21(中国大陆),https://movie.douban.com/subject/34442304/,,武侠,3,,,2022-12-27 17:10:50,
3616147870,罪恶之家,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2266257360.jpg,2015-09-13(英国),https://movie.douban.com/subject/25955491/,8.3,"剧情,悬疑",4,,,2022-12-25 23:12:39,
3598881393,霹雳兵烽决,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2619910415.jpg,2020-09-18(中国台湾),https://movie.douban.com/subject/35203398/,7.5,武侠,4,,,2022-12-11 00:15:27,
3574161865,子弹列车,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2873950053.jpg,2022-08-03(洛迦诺电影节),https://movie.douban.com/subject/35118954/,7.9,"喜剧,动作,惊悚",3,,,2022-11-20 17:01:27,
